L,d,legit_ser,eve_ser,mask_xcorr,oma
8,32,0.9594105,0.99997,0.003249221947,0.6849191155
12,48,0.4157085,0.999767,0.003225991037,nan
16,64,0.315952,0.9994685,0.01121100038,0.2747696909
20,80,0.213059,0.9996415,0.00134725438,0.2289444229
24,96,0.183031,0.9997345,0.001526024193,0.1961714033
32,128,0.1231225,0.999805,0.002514706925,0.1524639978
48,192,0.084432,0.999786,0.001822981867,0.1054308944
64,256,0.061412,0.9993955,0.002381352475,0.08056383667
