block,legit_invariant,legit_naive,eve_invariant,eve_naive
0,0.25722,0.9825916667,0.9998433333,0.999975
1,0.257695,0.7424366667,0.9997983333,0.998495
2,0.2575741667,0.8482983333,0.9999891667,0.9999966667
3,0.2574108333,0.7789558333,0.9997116667,0.9998625
4,0.2578316667,0.619975,0.9978516667,0.9999391667
5,0.2575941667,0.6579858333,0.99976,0.9997716667
6,0.2568508333,0.7788175,0.9997783333,0.9999341667
7,0.2574466667,0.6938383333,0.9999633333,0.9989225
8,0.2568958333,0.8399391667,0.9983208333,0.99991
9,0.2572158333,0.6549775,0.9999891667,0.9999816667
10,0.2575733333,0.4789683333,0.9995841667,0.9995091667
11,0.2569025,0.6551183333,0.999925,0.9999741667
12,0.2582966667,0.8479616667,0.9997208333,0.9999233333
13,0.2579675,0.6551841667,0.9999758333,0.9996183333
14,0.2572158333,0.6582558333,1,0.999915
15,0.2578983333,0.4791275,0.9994441667,0.9999233333
16,0.2570508333,0.7614066667,0.9998991667,0.9993675
17,0.2576233333,0.8045108333,0.9994666667,0.9999475
18,0.2571108333,0.8073525,0.9997158333,0.999985
19,0.257955,0.6890983333,0.9992433333,0.9994441667
20,0.25777,0.5282241667,0.9981,0.9992808333
21,0.2568141667,0.7426725,0.9999566667,0.999965
22,0.2578066667,0.6547841667,0.9997633333,0.9990433333
23,0.2575241667,0.68849,0.9998791667,0.99982
