block,legit_ser,eve_ser
0,0.06113666667,0.9990225
1,0.06151666667,0.99906
2,0.06108666667,0.9999341667
3,0.0615975,0.9995841667
4,0.06189833333,0.9996233333
5,0.0608925,0.9997391667
6,0.06110333333,0.9999591667
7,0.06100083333,0.994235
8,0.06136166667,0.9995625
9,0.06109166667,0.999875
10,0.06130416667,0.9996441667
11,0.06130916667,0.9975941667
12,0.06105666667,0.9999325
13,0.06113166667,0.9998916667
14,0.06178,0.9994783333
15,0.06124583333,0.9997775
16,0.06141083333,0.9998683333
17,0.0612175,0.99964
18,0.06126833333,0.9997041667
19,0.06113916667,0.9999766667
20,0.06117583333,0.9994191667
21,0.06127166667,0.9999558333
22,0.06118416667,0.9995833333
23,0.06149666667,0.9997783333
