family,legit_ser,eve_ser,mask_xcorr
random,0.64962,0.998488,0.2709003091
hadamard,0.2568,0.9995605,0
learned,0.2762895,0.9999285,0.007116591092
learned_reg,0.315952,0.9999555,0.01121100038
